banco_estandarizado,indicador,estado,motivo,observaciones,mae_ajuste,rmse_ajuste
COOPNACIONAL,roe,entrenado,,173,1.5213961648647387,2.0352176134255964
D-MIRO,roe,entrenado,,164,11.300407073815233,17.361114380024937
DELBANK,roe,entrenado,,205,24.98532161544553,31.85330243872807
DESARROLLO DE LOS PUEBLOS S.A,roe,entrenado,,143,7.9520568457484195,13.976040755024762
DINERS,roe,entrenado,,104,2.537052297607367,3.0683787787427024
FINCA,roe,entrenado,,170,17.92351141918224,24.249879913537367
GENERAL RUMIÑAHUI,roe,entrenado,,205,2.639849415577734,3.1771772872328508
GUAYAQUIL,roe,entrenado,,205,2.7355389243100894,3.8122012955725744
INTERNACIONAL,roe,entrenado,,205,1.8648759590009671,2.2672724046010964
LITORAL,roe,entrenado,,205,10.191698681443814,17.36704464777957
LLOYDS BANK,roe,entrenado,,31,6.0956287394250985,7.415654071224148
LOJA,roe,entrenado,,205,2.9375718592479423,3.616721053817089
MACHALA,roe,entrenado,,205,2.894316406139564,6.193834581688203
MM JARAMILLO ARTEAGA,roe,omitido,menos de 24 observaciones,3,,
PACIFICO,roe,entrenado,,205,4.668947127813566,9.108305408757353
PICHINCHA,roe,entrenado,,205,2.644807556925821,3.3890167705659535
PROCREDIT,roe,entrenado,,205,17.568010158945167,26.194076788931966
PRODUBANCO,roe,entrenado,,205,3.0508661626274356,3.615309911089837
PROMERICA,roe,entrenado,,67,3.073338992481258,4.080263638365809
SOLIDARIO,roe,entrenado,,205,13.01696302840453,19.988674102971427
SUDAMERICANO,roe,entrenado,,67,10.33048215335232,15.216003879085712
TERRITORIAL,roe,entrenado,,59,18.720879755421702,22.30350274203246
UNIBANCO,roe,entrenado,,59,3.842894496311339,4.473019211263215
VISIONFUND ECUADOR,roe,entrenado,,112,3.822385968335177,4.409786930073802
AMAZONAS,solvencia_proxy,entrenado,,203,0.5176507273902641,0.6673947420645011
ATLANTIDA,solvencia_proxy,omitido,menos de 24 observaciones,10,,
AUSTRO,solvencia_proxy,entrenado,,203,0.3654945609162021,0.43563865254769213
BOLIVARIANO,solvencia_proxy,entrenado,,203,0.2793483433485164,0.33413747665463506
CAPITAL,solvencia_proxy,entrenado,,203,4.333555889818803,5.487282465490165
CITIBANK,solvencia_proxy,entrenado,,203,0.7831027942306487,0.9665013719736552
COFIEC,solvencia_proxy,entrenado,,78,2.437486986301492,3.203757388396702
COMERCIAL DE MANABI,solvencia_proxy,entrenado,,203,0.8923693667561603,1.0989800041830822
COOPNACIONAL,solvencia_proxy,entrenado,,171,0.3031658129663501,0.3747789226650344
D-MIRO,solvencia_proxy,entrenado,,162,0.8771690139078134,1.1482732416274302
DELBANK,solvencia_proxy,entrenado,,203,2.248552514059887,2.91883879281158
DESARROLLO DE LOS PUEBLOS S.A,solvencia_proxy,entrenado,,141,0.6745069705638991,0.8946159746336574
DINERS,solvencia_proxy,entrenado,,102,0.2784431671963153,0.3504258233900081
FINCA,solvencia_proxy,entrenado,,168,2.8734195570926127,3.4659956715896265
GENERAL RUMIÑAHUI,solvencia_proxy,entrenado,,203,0.33299899113139025,0.4435001145036398
GUAYAQUIL,solvencia_proxy,entrenado,,203,0.3329895142417809,0.40682192599574435
INTERNACIONAL,solvencia_proxy,entrenado,,203,0.353545614874532,0.44192626300437887
LITORAL,solvencia_proxy,entrenado,,203,1.0221714385007914,1.4290723919803405
LLOYDS BANK,solvencia_proxy,entrenado,,31,10.671755898061793,12.091695469087595
LOJA,solvencia_proxy,entrenado,,203,0.3912947189649955,0.49892802413227955
MACHALA,solvencia_proxy,entrenado,,203,0.22079696834680185,0.29848158270042346
MM JARAMILLO ARTEAGA,solvencia_proxy,omitido,menos de 24 observaciones,3,,
PACIFICO,solvencia_proxy,entrenado,,203,0.648001406993532,0.7932953903406676
PICHINCHA,solvencia_proxy,entrenado,,203,0.3673864883766044,0.44117154087805205
PROCREDIT,solvencia_proxy,entrenado,,203,0.6638173062229863,0.8255910860142037
PRODUBANCO,solvencia_proxy,entrenado,,203,0.29944646480751563,0.38121618824437525
PROMERICA,solvencia_proxy,entrenado,,67,5.731985059902208,10.447030148615738
SOLIDARIO,solvencia_proxy,entrenado,,203,0.6438739165059443,0.8937792349324658
SUDAMERICANO,solvencia_proxy,entrenado,,67,1.455218996467411,1.887689970948102
TERRITORIAL,solvencia_proxy,entrenado,,50,0.917928878515529,1.0579254271362448
UNIBANCO,solvencia_proxy,entrenado,,51,0.2558891501190968,0.29927013820613046
VISIONFUND ECUADOR,solvencia_proxy,entrenado,,110,0.5602567019945027,0.7670017764112473
