periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-03,2009-03-01,2009,3,FINCA,38.04,27.7,10.21,12.89,23.4,4.94,4.94,5.942117881285383,-1.0021178812853826,1.0021178812853826
2009-03,2009-03-01,2009,3,GENERAL RUMIÑAHUI,320.79,298.28,21.5,3.62,6.01,18.87,18.87,20.284262364117364,-1.4142623641173628,1.4142623641173628
2009-03,2009-03-01,2009,3,GUAYAQUIL,2261.29,2088.48,164.44,2.31,6.27,19.92,19.92,19.2810405928331,0.6389594071669009,0.6389594071669009
2009-03,2009-03-01,2009,3,INTERNACIONAL,1227.49,1108.01,116.13,2.48,8.36,11.53,11.53,11.870130987623483,-0.3401309876234837,0.3401309876234837
2009-03,2009-03-01,2009,3,LITORAL,21.13,17.51,3.54,3.62,13.43,9.82,9.82,8.826510901875901,0.9934890981240994,0.9934890981240994
2009-03,2009-03-01,2009,3,LLOYDS BANK,192.99,169.78,22.71,0.71,11.05,8.21,8.21,9.17397659331409,-0.96397659331409,0.96397659331409
2009-03,2009-03-01,2009,3,LOJA,188.17,168.24,18.91,2.64,8.58,21.46,21.46,21.285055422077942,0.17494457792205864,0.17494457792205864
2009-03,2009-03-01,2009,3,MACHALA,340.77,308.21,32.02,3.55,7.89,6.76,6.76,7.051480355940354,-0.2914803559403545,0.2914803559403545
2009-03,2009-03-01,2009,3,MM JARAMILLO ARTEAGA,453.8,419.93,33.19,2.23,6.73,8.12,8.12,9.575442749596537,-1.4554427495965374,1.4554427495965374
2009-03,2009-03-01,2009,3,PACIFICO,1660.44,1381.58,269.03,3.89,14.75,14.62,14.62,18.463441125356123,-3.843441125356124,3.843441125356124
2009-03,2009-03-01,2009,3,PICHINCHA,4288.87,3826.52,448.92,3.48,9.18,11.74,11.74,11.568104062326556,0.1718959376734439,0.1718959376734439
2009-03,2009-03-01,2009,3,PROCREDIT,288.54,251.39,36.12,2.85,11.44,11.42,11.42,10.937682376604874,0.48231762339512585,0.48231762339512585
2009-03,2009-03-01,2009,3,PRODUBANCO,1514.51,1357.64,153.77,1.32,9.44,8.06,8.06,7.664415369630362,0.39558463036963865,0.39558463036963865
2009-03,2009-03-01,2009,3,SOLIDARIO,300.22,262.44,37.45,8.46,9.89,3.54,3.54,4.653826225348725,-1.113826225348725,1.113826225348725
2009-03,2009-03-01,2009,3,SUDAMERICANO,8.85,2.77,6.07,8.81,47.5,88.75,88.75,37.1305662999963,51.6194337000037,51.6194337000037
2009-03,2009-03-01,2009,3,TERRITORIAL,104.68,95.48,8.19,9.05,6.08,49.55,49.55,40.439761605339086,9.110238394660911,9.110238394660911
2009-03,2009-03-01,2009,3,UNIBANCO,253.68,204.33,48.14,10.91,16.16,10.08,10.08,9.282456302308807,0.7975436976911929,0.7975436976911929
