anio,tipo_score,ranking_score,banco_estandarizado,score_salud,lectura_score,perfil_cluster,puntaje_roe_modelo,puntaje_cluster,puntaje_tendencia_general,puntaje_morosidad_proyectada,puntaje_solvencia_proyectada,roe_real,roe_estimado,error_roe,activos_totales,patrimonio,roe,morosidad,solvencia_proxy,cambio_proyectado_pct_activos_totales,cambio_proyectado_roe,cambio_proyectado_morosidad,cambio_proyectado_solvencia_proxy,analisis_ejecutivo
2024,historico_sin_proyecciones,10,PICHINCHA,59.52,Perfil intermedio con seguimiento,Bancos grandes o consolidados,39.13,85,,,,7.383333333333333,8.309539897436666,-0.9262065641033338,18020.908333333333,1804.76,7.383333333333333,4.050833333333333,9.248333333333333,10.092597125859513,-1.4887908113924428,-0.20301222289729814,-0.5477669561888483,"En 2024, PICHINCHA obtiene un score de salud financiera de 59.52/100, clasificado como: Perfil intermedio con seguimiento. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Bancos grandes o consolidados. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,11,COOPNACIONAL,59.23,Perfil intermedio con seguimiento,Mayor riesgo relativo,82.61,30,,,,7.460833333333333,6.671070126570957,0.7897632067623768,217.04999999999998,33.32833333333333,7.460833333333333,10.434166666666668,14.464166666666666,0.5331180040856147,-0.4040671242141767,-2.0451324440065313,0.32067590016270664,"En 2024, COOPNACIONAL obtiene un score de salud financiera de 59.23/100, clasificado como: Perfil intermedio con seguimiento. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,12,GENERAL RUMIÑAHUI,49.57,Perfil intermedio con seguimiento,Mayor riesgo relativo,65.22,30,,,,11.1975,11.468108123227085,-0.27060812322708633,1236.9733333333334,112.40750000000001,11.1975,4.02,8.816666666666666,6.028615619830238,-2.287454919593584,0.09044981536969576,0.13727598044310163,"En 2024, GENERAL RUMIÑAHUI obtiene un score de salud financiera de 49.57/100, clasificado como: Perfil intermedio con seguimiento. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,13,VISIONFUND ECUADOR,42.32,Requiere revisión,Mayor riesgo relativo,52.17,30,,,,8.0825,8.668896176585761,-0.5863961765857616,134.37666666666667,21.653333333333336,8.0825,6.675833333333333,15.332500000000001,8.188089842031626,-7.431122974870917,2.0441681321992258,-0.9189788507072159,"En 2024, VISIONFUND ECUADOR obtiene un score de salud financiera de 42.32/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,14,AUSTRO,39.91,Requiere revisión,Mayor riesgo relativo,47.83,30,,,,3.2716666666666665,3.8751423869417625,-0.6034757202750957,2616.23,253.43416666666667,3.2716666666666665,3.6191666666666666,7.7725,1.6319118612600003,-4.792275888651021,-1.0640413625608924,-0.14217351697542568,"En 2024, AUSTRO obtiene un score de salud financiera de 39.91/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,15,DINERS,37.49,Requiere revisión,Mayor riesgo relativo,43.48,30,,,,5.381666666666667,6.219161266017932,-0.8374945993512647,2910.1525,537.4108333333334,5.381666666666667,6.270833333333333,17.029166666666665,7.203262454818124,-3.4504430895418103,1.3383802386685124,-1.3202247464691421,"En 2024, DINERS obtiene un score de salud financiera de 37.49/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,16,DELBANK,35.75,Requiere revisión,Pequeños con mayor solvencia proxy,4.35,75,,,,-0.6058333333333332,9.310597773769443,-9.916431107102776,33.475833333333334,11.780833333333334,-0.6058333333333332,2.4525,29.9425,9.301653131078096,-3.1347815023982815,1.504959338384246,-1.9569318027622238,"En 2024, DELBANK obtiene un score de salud financiera de 35.75/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Pequeños con mayor solvencia proxy. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,17,LOJA,32.66,Requiere revisión,Mayor riesgo relativo,34.78,30,,,,8.263333333333334,9.468294878574362,-1.2049615452410285,840.3266666666667,76.17166666666667,8.263333333333334,4.180833333333333,8.100833333333334,7.069994567498313,-3.772702972138678,-0.4300006494762463,-0.9323529484499309,"En 2024, LOJA obtiene un score de salud financiera de 32.66/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,18,MACHALA,30.24,Requiere revisión,Mayor riesgo relativo,30.43,30,,,,4.133333333333334,5.62069308297798,-1.4873597496446471,1090.9833333333333,82.60000000000001,4.133333333333334,2.9141666666666666,6.685,2.9534537414107325,-0.5806075448532635,-0.6740785241612233,-0.15004160762245888,"En 2024, MACHALA obtiene un score de salud financiera de 30.24/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,19,CITIBANK,27.83,Requiere revisión,Mayor riesgo relativo,26.09,30,,,,13.719166666666666,16.123041802618683,-2.4038751359520165,726.3908333333334,95.4225,13.719166666666666,0.0,11.62,-8.120371488402013,-2.2593267121685763,-2.404970326085562,0.1507782018900734,"En 2024, CITIBANK obtiene un score de salud financiera de 27.83/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
