archivo_origen,archivo_nombre,extension,periodo,fecha_corte,celda_fecha,valor_fecha_original,hoja_balance,metodo_balance,hojas_indicadores,estado,detalle
00_datos_crudos\BOL_FIN_BCOS_MAY_16.xlsm,BOL_FIN_BCOS_MAY_16.xlsm,.xlsm,2016-05,2016-05-31,B4,2016-05-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL_FIN_BCOS_NOV_12.xlsx,BOL_FIN_BCOS_NOV_12.xlsx,.xlsx,2012-11,2012-11-30,B4,2012-11-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_ABR_2021_web2.xlsm,BOL_MENSUAL_ BPRIVADA_ABR_2021_web2.xlsm,.xlsm,2021-04,2021-04-30,B4,2021-04-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_AGO_2020_ web.xlsx,BOL_MENSUAL_ BPRIVADA_AGO_2020_ web.xlsx,.xlsx,2020-08,2020-08-31,B4,2020-08-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_ENE_2021 _web2.xlsm,BOL_MENSUAL_ BPRIVADA_ENE_2021 _web2.xlsm,.xlsm,2021-01,2021-01-31,B4,2021-01-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_FEB_2021_web2.xlsx,BOL_MENSUAL_ BPRIVADA_FEB_2021_web2.xlsx,.xlsx,2021-02,2021-02-28,B4,2021-02-28 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_MAR_2021_web2.xlsm,BOL_MENSUAL_ BPRIVADA_MAR_2021_web2.xlsm,.xlsm,2021-03,2021-03-31,B4,2021-03-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_NOV_2020 _web.xlsm,BOL_MENSUAL_ BPRIVADA_NOV_2020 _web.xlsm,.xlsm,2020-11,2020-11-30,B4,2020-11-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_BPRIVADA_AGO_2021_web2.xlsx,BOL_MENSUAL_BPRIVADA_AGO_2021_web2.xlsx,.xlsx,2021-08,2021-08-31,B4,2021-08-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_MENSUAL_BPRIVADA_JUL_2021_web2.xlsx,BOL_MENSUAL_BPRIVADA_JUL_2021_web2.xlsx,.xlsx,2021-07,2021-07-31,B4,2021-07-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
