archivo_origen,periodo,indicador,estado,detalle,hoja,celda,candidatos
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_07.xlsx,2022-07,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,solvencia_proxy,componente_fk_no_encontrado,No se encontró una fila útil para el componente fk.,INDICADORES,,[]
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,solvencia_proxy,fallback_fi_nombre_usado,No se encontró una fila útil por código para fi; se usó búsqueda textual por nombre/variantes.,INDICADORES,,"[('B87', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,solvencia_proxy,solvencia_proxy_no_encontrada,No se encontró IF112 ni nombre directo útil. Tampoco fue posible calcular con FK/FI porque falta uno o ambos componentes.,INDICADORES,,[]
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,solvencia_proxy,indicador_financiero_no_encontrado_final,No se encontró por código ni por nombre/variantes en las hojas revisadas.,INDICADORES,,
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,2022-08,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,2022-08,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,2022-08,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,2022-08,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,2022-09,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,2022-09,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,2022-09,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,2022-09,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,2023-01,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,2023-01,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,2023-01,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,2023-01,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,2022-10,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,2022-10,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,2022-10,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,2022-10,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,2022-12,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,2022-12,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,2022-12,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,2022-12,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 24, 24), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,2023-02,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 24, 24)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,2023-02,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 24, 24)]"
