archivo_origen,periodo,activos_totales,pasivos_totales,patrimonio,roe,morosidad,solvencia_proxy
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_02.xlsx,2025-02,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_03.xlsx,2025-03,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_04.xlsx,2025-04,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_05.xlsx,2025-05,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_06.xlsx,2025-06,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_07.xlsx,2025-07,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_08.xlsx,2025-08,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_09.xlsx,2025-09,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_10.xlsx,2025-10,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_11.xlsx,2025-11,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_12.xlsx,2025-12,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_01.xlsx,2026-01,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_02.xlsx,2026-02,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,2026-03,23,23,23,23,23,23
00_datos_crudos\MENSUAL_BANCA_PRIVADA 2021_11.xlsx,2021-11,24,24,24,24,24,0
00_datos_crudos\Mensual_BancaPrivada_dic21.xlsx,2021-12,24,24,24,24,24,24
00_datos_crudos\Mensual_BancaPrivada_mar22.xlsx,2022-03,24,24,24,24,24,24
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201210 web 2.xlsx,2012-10,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201212 web 5.xlsx,2012-12,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201301 web 2.xlsx,2013-01,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201302 FINAL COMPLETO WEB.xlsx,2013-02,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201303 web 2.xlsx,2013-03,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201304 M1 WEB.xlsx,2013-04,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201305 M1 WEB.xlsx,2013-05,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201306 M1 WEB.xlsx,2013-06,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201307 M1 WEB.xlsx,2013-07,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201308 M1 WEB.xlsx,2013-08,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201309 M1 WEB.xlsx,2013-09,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201310 M1 WEB.xlsx,2013-10,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201311 web 3.xlsm,2013-11,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201312 M1 WEB.xlsx,2013-12,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201401 2 web 3.xlsm,2014-01,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201402 web 3.xlsm,2014-02,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201403 web 2.xlsm,2014-03,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201404 web.xlsm,2014-04,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201405 web.xlsm,2014-05,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201406 WEB.xlsm,2014-06,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201407 web.xlsm,2014-07,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BOL_BP_ENE 2016 web.xlsm,2016-01,22,22,22,22,22,22
00_datos_crudos\NUEVA PLANTILLA BOL_BP_FEB 2016 web.xlsm,2016-02,22,22,22,22,22,22
00_datos_crudos\NUEVA PLANTILLA BOL_BP_MAR 2016 web.xlsm,2016-03,22,22,22,22,22,22
