periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,ranking,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2026-03,DELBANK,solvencia_proxy,28.52,porcentaje,mayor_es_mejor,2026-03-01,1,11.315217391304348,9.27,23,17.204782608695652,152.04995196926032
2026-03,LITORAL,solvencia_proxy,23.6,porcentaje,mayor_es_mejor,2026-03-01,2,11.315217391304348,9.27,23,12.284782608695654,108.56868395773296
2026-03,SOLIDARIO,solvencia_proxy,17.99,porcentaje,mayor_es_mejor,2026-03-01,3,11.315217391304348,9.27,23,6.674782608695651,58.98943323727184
2026-03,DINERS,solvencia_proxy,16.08,porcentaje,mayor_es_mejor,2026-03-01,4,11.315217391304348,9.27,23,4.764782608695651,42.10951008645532
2026-03,VISIONFUND ECUADOR,solvencia_proxy,13.52,porcentaje,mayor_es_mejor,2026-03-01,5,11.315217391304348,9.27,23,2.204782608695652,19.485110470701247
2026-03,COOPNACIONAL,solvencia_proxy,13.03,porcentaje,mayor_es_mejor,2026-03-01,6,11.315217391304348,9.27,23,1.7147826086956517,15.154658981748314
2026-03,CITIBANK,solvencia_proxy,11.95,porcentaje,mayor_es_mejor,2026-03-01,7,11.315217391304348,9.27,23,0.6347826086956516,5.609990393852061
2026-03,COMERCIAL DE MANABI,solvencia_proxy,11.02,porcentaje,mayor_es_mejor,2026-03-01,8,11.315217391304348,9.27,23,-0.2952173913043481,-2.6090297790586
2026-03,CAPITAL,solvencia_proxy,10.24,porcentaje,mayor_es_mejor,2026-03-01,9,11.315217391304348,9.27,23,-1.0752173913043475,-9.502401536983667
2026-03,PACIFICO,solvencia_proxy,10.22,porcentaje,mayor_es_mejor,2026-03-01,10,11.315217391304348,9.27,23,-1.095217391304347,-9.67915465898174
2026-03,DESARROLLO DE LOS PUEBLOS S.A,solvencia_proxy,10.09,porcentaje,mayor_es_mejor,2026-03-01,11,11.315217391304348,9.27,23,-1.2252173913043478,-10.828049951969259
2026-03,GENERAL RUMIÑAHUI,solvencia_proxy,9.27,porcentaje,mayor_es_mejor,2026-03-01,12,11.315217391304348,9.27,23,-2.045217391304348,-18.074927953890494
2026-03,PICHINCHA,solvencia_proxy,9.25,porcentaje,mayor_es_mejor,2026-03-01,13,11.315217391304348,9.27,23,-2.0652173913043477,-18.251681075888566
2026-03,BOLIVARIANO,solvencia_proxy,8.95,porcentaje,mayor_es_mejor,2026-03-01,14,11.315217391304348,9.27,23,-2.3652173913043484,-20.902977905859753
2026-03,INTERNACIONAL,solvencia_proxy,8.19,porcentaje,mayor_es_mejor,2026-03-01,15,11.315217391304348,9.27,23,-3.125217391304348,-27.619596541786745
2026-03,AMAZONAS,solvencia_proxy,7.92,porcentaje,mayor_es_mejor,2026-03-01,16,11.315217391304348,9.27,23,-3.3952173913043477,-30.005763688760805
2026-03,LOJA,solvencia_proxy,7.92,porcentaje,mayor_es_mejor,2026-03-01,17,11.315217391304348,9.27,23,-3.3952173913043477,-30.005763688760805
2026-03,GUAYAQUIL,solvencia_proxy,7.77,porcentaje,mayor_es_mejor,2026-03-01,18,11.315217391304348,9.27,23,-3.545217391304348,-31.331412103746402
2026-03,PROCREDIT,solvencia_proxy,7.29,porcentaje,mayor_es_mejor,2026-03-01,19,11.315217391304348,9.27,23,-4.025217391304348,-35.57348703170028
2026-03,PRODUBANCO,solvencia_proxy,7.27,porcentaje,mayor_es_mejor,2026-03-01,20,11.315217391304348,9.27,23,-4.045217391304348,-35.75024015369837
2026-03,AUSTRO,solvencia_proxy,6.83,porcentaje,mayor_es_mejor,2026-03-01,21,11.315217391304348,9.27,23,-4.485217391304348,-39.6388088376561
2026-03,ATLANTIDA,solvencia_proxy,6.73,porcentaje,mayor_es_mejor,2026-03-01,22,11.315217391304348,9.27,23,-4.585217391304347,-40.522574447646484
2026-03,MACHALA,solvencia_proxy,6.6,porcentaje,mayor_es_mejor,2026-03-01,23,11.315217391304348,9.27,23,-4.715217391304348,-41.67146974063401
