periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-01,LLOYDS BANK,roe,11.39,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-3.0795999999999992,-21.283242107591082
2009-01,LLOYDS BANK,solvencia_proxy,11.09,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-3.3580000000000005,-23.241971207087488
2009-01,LOJA,activos_totales,201.45,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-441.78479999999996,-68.68173177197502
2009-01,LOJA,morosidad,2.85,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-2.7136,-48.774174994607804
2009-01,LOJA,pasivos_totales,182.16,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-392.5376,-68.30333030797414
2009-01,LOJA,patrimonio,18.91,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-48.930800000000005,-72.12591832643483
2009-01,LOJA,roe,24.32,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,9.8504,68.07651904682922
2009-01,LOJA,solvencia_proxy,7.89,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-6.558000000000001,-45.39036544850499
2009-01,MACHALA,activos_totales,341.2,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-302.03479999999996,-46.95560625762163
2009-01,MACHALA,morosidad,3.61,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.9536000000000002,-35.11395499316989
2009-01,MACHALA,pasivos_totales,309.05,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-265.64759999999995,-46.22389235660632
2009-01,MACHALA,patrimonio,32.04,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-35.8008,-52.771783351611425
2009-01,MACHALA,roe,3.98,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-10.4896,-72.49405650467186
2009-01,MACHALA,solvencia_proxy,8.11,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-6.338000000000001,-43.86766334440754
2009-01,MM JARAMILLO ARTEAGA,activos_totales,467.35,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-175.88479999999993,-27.343794210139116
2009-01,MM JARAMILLO ARTEAGA,morosidad,2.3,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-3.2636000000000003,-58.659860521964205
2009-01,MM JARAMILLO ARTEAGA,pasivos_totales,433.91,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-140.78759999999994,-24.49768365136725
2009-01,MM JARAMILLO ARTEAGA,patrimonio,33.19,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-34.650800000000004,-51.07663824719049
2009-01,MM JARAMILLO ARTEAGA,roe,8.91,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-5.5596,-38.42262398407696
2009-01,MM JARAMILLO ARTEAGA,solvencia_proxy,6.57,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-7.878,-54.5265780730897
