periodo,indicador,promedio_sistema,mediana_sistema,bancos_con_dato
2015-04,morosidad,7.455652173913043,5.34,23
2015-04,pasivos_totales,1272.21,396.2,23
2015-04,patrimonio,133.52,45.83,23
2015-04,roe,12.051739130434783,9.54,23
2015-04,solvencia_proxy,12.049565217391304,9.77,23
2015-05,activos_totales,1404.6726086956521,433.23,23
2015-05,morosidad,8.406086956521738,5.53,23
2015-05,pasivos_totales,1265.5552173913043,390.18,23
2015-05,patrimonio,133.3978260869565,45.83,23
2015-05,roe,11.623043478260868,9.67,23
2015-05,solvencia_proxy,11.698695652173912,9.8,23
2015-06,activos_totales,1397.1139130434783,431.62,23
2015-06,morosidad,8.821304347826088,5.13,23
2015-06,pasivos_totales,1256.9773913043477,390.56,23
2015-06,patrimonio,133.19173913043477,45.76,23
2015-06,roe,11.19304347826087,9.97,23
2015-06,solvencia_proxy,12.289130434782608,10.27,23
2015-07,activos_totales,1381.901304347826,418.84,23
2015-07,morosidad,10.778695652173912,5.5,23
2015-07,pasivos_totales,1241.7621739130434,377.42,23
2015-07,patrimonio,132.08608695652174,45.72,23
2015-07,roe,10.693913043478261,9.98,23
2015-07,solvencia_proxy,11.322727272727272,9.670000000000002,22
2015-08,activos_totales,1434.0240909090908,453.29,22
2015-08,morosidad,7.41,5.645,22
2015-08,pasivos_totales,1286.4977272727274,404.02,22
2015-08,patrimonio,138.03863636363636,47.775,22
2015-08,roe,6.694545454545454,9.285,22
2015-08,solvencia_proxy,11.46409090909091,9.975000000000001,22
2015-09,activos_totales,1408.368181818182,439.2,22
2015-09,morosidad,6.211363636363637,5.449999999999999,22
2015-09,pasivos_totales,1260.0104545454544,390.0,22
2015-09,patrimonio,137.9209090909091,47.735,22
2015-09,roe,9.323636363636362,9.059999999999999,22
2015-09,solvencia_proxy,11.741363636363637,10.530000000000001,22
2015-10,activos_totales,1406.6286363636364,441.45500000000004,22
2015-10,morosidad,6.624545454545455,6.005,22
2015-10,pasivos_totales,1257.4095454545457,391.79499999999996,22
2015-10,patrimonio,137.8881818181818,47.405,22
2015-10,roe,9.674545454545454,8.69,22
2015-10,solvencia_proxy,11.507272727272728,10.105,22
2015-11,activos_totales,1401.205909090909,465.805,22
2015-11,morosidad,7.536363636363637,6.720000000000001,22
2015-11,pasivos_totales,1251.7759090909092,415.78999999999996,22
2015-11,patrimonio,137.48772727272728,46.815,22
2015-11,roe,10.246363636363638,8.515,22
2015-11,solvencia_proxy,11.504545454545454,9.705,22
2015-12,activos_totales,1402.913181818182,444.3,22
2015-12,morosidad,6.752272727272728,5.79,22
2015-12,pasivos_totales,1253.0727272727274,394.115,22
2015-12,patrimonio,149.84045454545455,50.445,22
2015-12,roe,9.35,7.359999999999999,22
2015-12,solvencia_proxy,11.688181818181818,10.075,22
2016-01,activos_totales,1418.9745454545455,437.555,22
2016-01,morosidad,8.138636363636364,6.365,22
2016-01,pasivos_totales,1268.3722727272727,386.97,22
2016-01,patrimonio,149.75954545454545,50.42,22
2016-01,roe,8.243636363636362,6.29,22
2016-01,solvencia_proxy,12.020454545454545,10.129999999999999,22
2016-02,activos_totales,1441.6222727272727,452.125,22
2016-02,morosidad,8.777727272727274,6.925,22
2016-02,pasivos_totales,1290.86,400.82500000000005,22
2016-02,patrimonio,149.3759090909091,50.435,22
2016-02,roe,10.374545454545453,5.145,22
2016-02,solvencia_proxy,11.965909090909092,10.075,22
2016-03,activos_totales,1466.9281818181817,482.555,22
2016-03,morosidad,9.501363636363637,7.1,22
2016-03,pasivos_totales,1317.638181818182,435.02,22
2016-03,patrimonio,146.9640909090909,50.405,22
2016-03,roe,8.387727272727274,5.785,22
2016-03,solvencia_proxy,11.871818181818183,9.600000000000001,22
2016-04,activos_totales,1451.933181818182,463.74,22
2016-04,morosidad,8.637727272727274,6.975,22
2016-04,pasivos_totales,1301.6777272727272,410.81,22
2016-04,patrimonio,147.30772727272728,49.92,22
2016-04,roe,5.065454545454545,5.380000000000001,22
2016-04,solvencia_proxy,12.367727272727272,10.11,22
2016-05,activos_totales,1441.3636363636363,453.98,22
2016-05,morosidad,8.882727272727273,7.745,22
2016-05,pasivos_totales,1290.4854545454546,401.95000000000005,22
2016-05,patrimonio,147.16863636363635,49.895,22
2016-05,roe,9.405454545454546,5.9399999999999995,22
2016-05,solvencia_proxy,12.240909090909092,9.68,22
2016-06,activos_totales,1472.1277272727273,471.735,22
2016-06,morosidad,8.74,6.785,22
2016-06,pasivos_totales,1320.800909090909,419.58500000000004,22
2016-06,patrimonio,146.875,49.834999999999994,22
2016-06,roe,19.955454545454547,7.619999999999999,22
2016-06,solvencia_proxy,12.063181818181818,9.625,22
2016-07,activos_totales,1476.9195454545454,472.345,22
2016-07,morosidad,9.389090909090909,6.925000000000001,22
2016-07,pasivos_totales,1324.8204545454546,419.875,22
2016-07,patrimonio,146.90545454545455,49.83,22
2016-07,roe,13.141818181818183,6.425000000000001,22
2016-07,solvencia_proxy,11.45590909090909,9.115,22
2016-08,activos_totales,1500.3195454545455,472.74,22
2016-08,morosidad,9.44681818181818,7.3,22
2016-08,pasivos_totales,1347.2440909090908,419.53499999999997,22
2016-08,patrimonio,147.07545454545453,49.74,22
2016-08,roe,8.723181818181818,6.43,22
2016-08,solvencia_proxy,11.805454545454547,9.17,22
2016-09,activos_totales,1524.6227272727272,474.985,22
2016-09,morosidad,9.32090909090909,6.87,22
2016-09,pasivos_totales,1370.6027272727274,421.105,22
2016-09,patrimonio,147.10363636363638,49.42,22
2016-09,roe,9.944545454545455,6.975,22
2016-09,solvencia_proxy,11.619545454545454,9.07,22
2016-10,activos_totales,1480.1082608695651,417.88,23
2016-10,morosidad,8.18608695652174,6.93,23
2016-10,pasivos_totales,1331.3152173913043,373.21,23
2016-10,patrimonio,141.34217391304347,49.09,23
2016-10,roe,9.266521739130434,6.5,23
2016-10,solvencia_proxy,12.059565217391304,8.85,23
2016-11,activos_totales,1487.8134782608695,400.87,23
2016-11,morosidad,8.264347826086956,7.13,23
2016-11,pasivos_totales,1338.2760869565216,355.85,23
2016-11,patrimonio,141.21652173913043,49.11,23
2016-11,roe,8.84086956521739,6.6,23
2016-11,solvencia_proxy,12.175217391304347,9.25,23
2016-12,activos_totales,1547.787391304348,421.66,23
2016-12,morosidad,7.485652173913043,5.98,23
2016-12,pasivos_totales,1394.5782608695652,374.97,23
2016-12,patrimonio,153.2091304347826,51.51,23
2016-12,roe,11.12782608695652,6.69,23
2016-12,solvencia_proxy,11.99608695652174,9.68,23
2017-01,activos_totales,1520.83,413.82,23
2017-01,morosidad,8.189130434782609,6.27,23
2017-01,pasivos_totales,1365.8439130434783,366.85,23
2017-01,patrimonio,154.08260869565217,53.87,23
2017-01,roe,4.83,6.81,23
2017-01,solvencia_proxy,12.943478260869565,10.53,23
2017-02,activos_totales,1540.7343478260868,423.67,23
2017-02,morosidad,8.874347826086955,6.18,23
2017-02,pasivos_totales,1384.3869565217392,376.37,23
2017-02,patrimonio,154.50826086956522,53.95,23
2017-02,roe,5.6121739130434785,6.38,23
2017-02,solvencia_proxy,12.523478260869567,10.62,23
2017-03,activos_totales,1570.0217391304348,419.57,23
2017-03,morosidad,10.255652173913044,6.23,23
2017-03,pasivos_totales,1413.195652173913,371.92,23
2017-03,patrimonio,153.59739130434784,54.41,23
2017-03,roe,13.672173913043478,7.68,23
2017-03,solvencia_proxy,12.54695652173913,9.42,23
2017-04,activos_totales,1552.8256521739129,422.01,23
2017-04,morosidad,8.411739130434782,6.34,23
2017-04,pasivos_totales,1397.0191304347825,373.61,23
2017-04,patrimonio,151.46260869565216,53.63,23
2017-04,roe,5.721304347826087,5.67,23
2017-04,solvencia_proxy,12.597391304347827,10.28,23
2017-05,activos_totales,1527.1947826086957,417.33,23
2017-05,morosidad,8.489999999999998,5.84,23
2017-05,pasivos_totales,1370.2034782608696,370.15,23
2017-05,patrimonio,151.2682608695652,53.39,23
2017-05,roe,10.916086956521738,8.0,23
2017-05,solvencia_proxy,12.82695652173913,10.42,23
2017-06,activos_totales,1550.3295833333334,487.83500000000004,24
2017-06,morosidad,7.7316666666666665,5.6899999999999995,24
2017-06,pasivos_totales,1385.4758333333332,429.46500000000003,24
2017-06,patrimonio,156.98541666666668,53.349999999999994,24
2017-06,roe,9.682083333333333,8.605,24
2017-06,solvencia_proxy,13.012500000000001,10.675,24
2017-07,activos_totales,1544.0145833333333,493.92999999999995,24
2017-07,morosidad,7.84125,5.529999999999999,24
2017-07,pasivos_totales,1376.4166666666667,435.03499999999997,24
2017-07,patrimonio,158.32833333333335,53.28,24
2017-07,roe,15.268333333333333,9.6,24
2017-07,solvencia_proxy,12.955,10.53,24
2017-08,activos_totales,1541.4820833333333,504.765,24
