periodo,banco_estandarizado,indicador,valor,unidad,sentido
2015-02,D-MIRO,solvencia_proxy,14.48,porcentaje,mayor_es_mejor
2015-02,DELBANK,activos_totales,27.78,millones_usd,mayor_es_tamano
2015-02,DELBANK,morosidad,6.21,porcentaje,menor_es_mejor
2015-02,DELBANK,pasivos_totales,16.86,millones_usd,informativo
2015-02,DELBANK,patrimonio,10.93,millones_usd,mayor_es_mejor
2015-02,DELBANK,roe,-49.44,porcentaje,mayor_es_mejor
2015-02,DELBANK,solvencia_proxy,32.84,porcentaje,mayor_es_mejor
2015-02,DESARROLLO DE LOS PUEBLOS S.A,activos_totales,117.07,millones_usd,mayor_es_tamano
2015-02,DESARROLLO DE LOS PUEBLOS S.A,morosidad,6.16,porcentaje,menor_es_mejor
2015-02,DESARROLLO DE LOS PUEBLOS S.A,pasivos_totales,104.55,millones_usd,informativo
2015-02,DESARROLLO DE LOS PUEBLOS S.A,patrimonio,12.22,millones_usd,mayor_es_mejor
2015-02,DESARROLLO DE LOS PUEBLOS S.A,roe,14.52,porcentaje,mayor_es_mejor
2015-02,DESARROLLO DE LOS PUEBLOS S.A,solvencia_proxy,9.59,porcentaje,mayor_es_mejor
2015-02,FINCA,activos_totales,50.13,millones_usd,mayor_es_tamano
2015-02,FINCA,morosidad,6.56,porcentaje,menor_es_mejor
2015-02,FINCA,pasivos_totales,41.2,millones_usd,informativo
2015-02,FINCA,patrimonio,9.44,millones_usd,mayor_es_mejor
2015-02,FINCA,roe,-32.1,porcentaje,mayor_es_mejor
2015-02,FINCA,solvencia_proxy,16.29,porcentaje,mayor_es_mejor
2015-02,GENERAL RUMIÑAHUI,activos_totales,631.0,millones_usd,mayor_es_tamano
2015-02,GENERAL RUMIÑAHUI,morosidad,3.66,porcentaje,menor_es_mejor
2015-02,GENERAL RUMIÑAHUI,pasivos_totales,583.68,millones_usd,informativo
2015-02,GENERAL RUMIÑAHUI,patrimonio,45.73,millones_usd,mayor_es_mejor
2015-02,GENERAL RUMIÑAHUI,roe,20.82,porcentaje,mayor_es_mejor
2015-02,GENERAL RUMIÑAHUI,solvencia_proxy,6.98,porcentaje,mayor_es_mejor
2015-02,GUAYAQUIL,activos_totales,3956.44,millones_usd,mayor_es_tamano
2015-02,GUAYAQUIL,morosidad,2.96,porcentaje,menor_es_mejor
2015-02,GUAYAQUIL,pasivos_totales,3581.87,millones_usd,informativo
2015-02,GUAYAQUIL,patrimonio,367.47,millones_usd,mayor_es_mejor
2015-02,GUAYAQUIL,roe,11.13,porcentaje,mayor_es_mejor
2015-02,GUAYAQUIL,solvencia_proxy,8.19,porcentaje,mayor_es_mejor
2015-02,INTERNACIONAL,activos_totales,2598.93,millones_usd,mayor_es_tamano
2015-02,INTERNACIONAL,morosidad,1.91,porcentaje,menor_es_mejor
2015-02,INTERNACIONAL,pasivos_totales,2364.05,millones_usd,informativo
2015-02,INTERNACIONAL,patrimonio,230.52,millones_usd,mayor_es_mejor
2015-02,INTERNACIONAL,roe,11.33,porcentaje,mayor_es_mejor
2015-02,INTERNACIONAL,solvencia_proxy,7.78,porcentaje,mayor_es_mejor
2015-02,LITORAL,activos_totales,24.25,millones_usd,mayor_es_tamano
2015-02,LITORAL,morosidad,11.85,porcentaje,menor_es_mejor
2015-02,LITORAL,pasivos_totales,20.15,millones_usd,informativo
2015-02,LITORAL,patrimonio,4.06,millones_usd,mayor_es_mejor
2015-02,LITORAL,roe,4.21,porcentaje,mayor_es_mejor
2015-02,LITORAL,solvencia_proxy,14.06,porcentaje,mayor_es_mejor
2015-02,LOJA,activos_totales,450.81,millones_usd,mayor_es_tamano
2015-02,LOJA,morosidad,3.88,porcentaje,menor_es_mejor
2015-02,LOJA,pasivos_totales,409.27,millones_usd,informativo
2015-02,LOJA,patrimonio,40.84,millones_usd,mayor_es_mejor
2015-02,LOJA,roe,10.39,porcentaje,mayor_es_mejor
2015-02,LOJA,solvencia_proxy,8.23,porcentaje,mayor_es_mejor
2015-02,MACHALA,activos_totales,690.15,millones_usd,mayor_es_tamano
2015-02,MACHALA,morosidad,2.67,porcentaje,menor_es_mejor
2015-02,MACHALA,pasivos_totales,639.84,millones_usd,informativo
2015-02,MACHALA,patrimonio,49.84,millones_usd,mayor_es_mejor
2015-02,MACHALA,roe,5.66,porcentaje,mayor_es_mejor
2015-02,MACHALA,solvencia_proxy,6.48,porcentaje,mayor_es_mejor
2015-02,PACIFICO,activos_totales,4470.34,millones_usd,mayor_es_tamano
2015-02,PACIFICO,morosidad,3.57,porcentaje,menor_es_mejor
2015-02,PACIFICO,pasivos_totales,3941.12,millones_usd,informativo
2015-02,PACIFICO,patrimonio,520.92,millones_usd,mayor_es_mejor
2015-02,PACIFICO,roe,9.62,porcentaje,mayor_es_mejor
2015-02,PACIFICO,solvencia_proxy,10.39,porcentaje,mayor_es_mejor
2015-02,PICHINCHA,activos_totales,9510.42,millones_usd,mayor_es_tamano
2015-02,PICHINCHA,morosidad,4.58,porcentaje,menor_es_mejor
2015-02,PICHINCHA,pasivos_totales,8646.16,millones_usd,informativo
2015-02,PICHINCHA,patrimonio,849.78,millones_usd,mayor_es_mejor
2015-02,PICHINCHA,roe,10.21,porcentaje,mayor_es_mejor
2015-02,PICHINCHA,solvencia_proxy,8.33,porcentaje,mayor_es_mejor
2015-02,PROCREDIT,activos_totales,398.16,millones_usd,mayor_es_tamano
2015-02,PROCREDIT,morosidad,3.6,porcentaje,menor_es_mejor
2015-02,PROCREDIT,pasivos_totales,339.14,millones_usd,informativo
2015-02,PROCREDIT,patrimonio,58.51,millones_usd,mayor_es_mejor
2015-02,PROCREDIT,roe,5.31,porcentaje,mayor_es_mejor
2015-02,PROCREDIT,solvencia_proxy,13.08,porcentaje,mayor_es_mejor
2015-02,PRODUBANCO,activos_totales,3737.5,millones_usd,mayor_es_tamano
2015-02,PRODUBANCO,morosidad,2.38,porcentaje,menor_es_mejor
2015-02,PRODUBANCO,pasivos_totales,3437.85,millones_usd,informativo
2015-02,PRODUBANCO,patrimonio,295.83,millones_usd,mayor_es_mejor
2015-02,PRODUBANCO,roe,7.75,porcentaje,mayor_es_mejor
2015-02,PRODUBANCO,solvencia_proxy,7.05,porcentaje,mayor_es_mejor
2015-02,SOLIDARIO,activos_totales,731.57,millones_usd,mayor_es_tamano
2015-02,SOLIDARIO,morosidad,8.17,porcentaje,menor_es_mejor
2015-02,SOLIDARIO,pasivos_totales,614.14,millones_usd,informativo
2015-02,SOLIDARIO,patrimonio,116.52,millones_usd,mayor_es_mejor
2015-02,SOLIDARIO,roe,4.7,porcentaje,mayor_es_mejor
2015-02,SOLIDARIO,solvencia_proxy,14.66,porcentaje,mayor_es_mejor
2015-03,AMAZONAS,activos_totales,143.53,millones_usd,mayor_es_tamano
2015-03,AMAZONAS,morosidad,5.46,porcentaje,menor_es_mejor
2015-03,AMAZONAS,pasivos_totales,123.67,millones_usd,informativo
2015-03,AMAZONAS,patrimonio,19.56,millones_usd,mayor_es_mejor
2015-03,AMAZONAS,roe,6.09,porcentaje,mayor_es_mejor
2015-03,AMAZONAS,solvencia_proxy,11.6,porcentaje,mayor_es_mejor
2015-03,AUSTRO,activos_totales,1529.32,millones_usd,mayor_es_tamano
2015-03,AUSTRO,morosidad,5.69,porcentaje,menor_es_mejor
2015-03,AUSTRO,pasivos_totales,1389.76,millones_usd,informativo
2015-03,AUSTRO,patrimonio,137.22,millones_usd,mayor_es_mejor
2015-03,AUSTRO,roe,6.83,porcentaje,mayor_es_mejor
2015-03,AUSTRO,solvencia_proxy,7.76,porcentaje,mayor_es_mejor
2015-03,BOLIVARIANO,activos_totales,2748.57,millones_usd,mayor_es_tamano
2015-03,BOLIVARIANO,morosidad,1.2,porcentaje,menor_es_mejor
2015-03,BOLIVARIANO,pasivos_totales,2526.36,millones_usd,informativo
2015-03,BOLIVARIANO,patrimonio,215.26,millones_usd,mayor_es_mejor
2015-03,BOLIVARIANO,roe,12.6,porcentaje,mayor_es_mejor
2015-03,BOLIVARIANO,solvencia_proxy,7.2,porcentaje,mayor_es_mejor
2015-03,CAPITAL,activos_totales,161.94,millones_usd,mayor_es_tamano
2015-03,CAPITAL,morosidad,7.55,porcentaje,menor_es_mejor
2015-03,CAPITAL,pasivos_totales,144.25,millones_usd,informativo
2015-03,CAPITAL,patrimonio,17.64,millones_usd,mayor_es_mejor
2015-03,CAPITAL,roe,1.13,porcentaje,mayor_es_mejor
